 , ,BI3214,BI3224,BI3234,BI3244,BI3254,BI3264,BI3274,BI3284,BI3294,BI3413,BI3423,BI3433,BI3444,BI3613,CH3214,CH3224,CH3234,CH3243,CH3253,CH3613,DS3613,EC3214,EC3224,EC3234,EC3243,EC3253,EC3284,EC3613,ECS456,HS3213,HS3223,HS3234,HS3244,HS3253,HS3264,HS3274,HS3613,MT3214,MT3224,MT3234,MT3244,MT3254,MT3264,MT3613,PH3214,PH3224,PH3234,PH3244,PH3253,PH3264,PH3273,PH3613,CD
 , ,[4],[4],[4],[4],[4],[4],[4],[4],[4],[3],[3],[3],[4],[3],[4],[4],[4],[3],[3],[3],[3],[4],[4],[4],[3],[3],[4],[3],[3],[3],[3],[4],[4],[3],[4],[4],[3],[4],[4],[4],[4],[4],[4],[3],[4],[4],[4],[4],[3],[4],[3],[3],
384,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
385,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , ,Y,Y, , , , , ,Y,Y, ,Y, ,Y, , , , , , , , , , ,24
386,Test, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , ,Y, , ,Y, , ,Y,Y, , ,23
387,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , ,Y,22
388,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,Y,Y,22
389,Test,Y,Y, , , , , , , , , , ,Y,Y, , , , ,Y, , , , , , , , , , , ,Y, , , ,Y, , , , , , , , , , , , , , , , , ,25
390,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y,Y,Y,Y, ,Y, , ,24
391,Test,Y,Y,Y, ,Y, , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
392,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,Y,Y,25
393,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , ,25
394,Test,Y,Y, , ,Y, , ,Y, , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
395,Test,Y,Y, , , , , ,Y, , ,Y, ,Y, , , , ,Y, , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , ,25
396,Test,Y,Y, , ,Y, , ,Y,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
397,Test,Y, ,Y, , , ,Y, ,Y, , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
398,Test, ,Y, , ,Y, , ,Y,Y, , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
399,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , ,Y, ,Y, ,Y,Y, , , , , , , , , ,23
400,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , ,Y, ,Y, , , , , , , , , , , , , , , , , , ,25
401,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
402,Test, , , , , , ,Y, , , , , , , ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
403,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
404,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y,Y, ,23
405,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , ,Y, , , ,Y,Y, , , , , , , , , ,20
406,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , ,Y,25
407,Test, ,Y,Y, , , , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , ,23
408,Test,Y,Y,Y, ,Y, , , , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
409,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
410,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
411,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
412,Test,Y,Y, , ,Y, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , ,Y, , , , , , , , , ,23
413,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , ,25
414,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y,Y,Y,Y,Y, , , , , , , , ,23
415,Test,Y,Y, , ,Y, , , , , , , ,Y,Y, , , , ,Y, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , ,25
